risk_score,industry,region,count,avg_amt,prev_2y,recent_2y,trend,S1_count,S2_amt,S3_trend,score_raw
9.8,건설업,충북,5,50930540,4,1,-0.75,0.767,0.65,-0.75,0.662
9.6,교육 서비스업,부산,2,42091855,1,1,0.0,0.307,0.537,0.0,0.648
9.3,제조업,광주,5,41780809,4,1,-0.75,0.767,0.533,-0.75,0.627
9.2,보건업 및 사회복지 서비스업,강원,2,122491792,2,0,-1.0,0.307,1.563,-1.0,0.622
8.9,정보통신업,부산,4,47956808,3,1,-0.667,0.613,0.612,-0.667,0.601
8.9,협회 및 단체  수리 및 기타 개인 서비스업,경남,4,76307179,4,0,-1.0,0.613,0.974,-1.0,0.599
8.6,전문  과학 및 기술 서비스업,경남,2,110838349,2,0,-1.0,0.307,1.414,-1.0,0.578
8.4,숙박 및 음식점업,충남,3,44974517,2,1,-0.5,0.46,0.574,-0.5,0.569
8.4,숙박 및 음식점업,대전,1,128823953,1,0,-1.0,0.153,1.644,-1.0,0.57
7.8,도매 및 소매업,경남,1,117995462,1,0,-1.0,0.153,1.505,-1.0,0.528
7.5,운수 및 창고업,강원,2,93004528,2,0,-1.0,0.307,1.187,-1.0,0.509
7.4,전문  과학 및 기술 서비스업,대구,2,91382104,2,0,-1.0,0.307,1.166,-1.0,0.503
7.0,숙박 및 음식점업,경남,3,63451652,3,0,-1.0,0.46,0.81,-1.0,0.473
6.9,숙박 및 음식점업,충북,1,101958684,1,0,-1.0,0.153,1.301,-1.0,0.467
6.4,예술  스포츠 및 여가관련 서비스업,전북,1,93335338,1,0,-1.0,0.153,1.191,-1.0,0.434
6.3,전문  과학 및 기술 서비스업,전남,1,92084105,1,0,-1.0,0.153,1.175,-1.0,0.429
6.3,전문  과학 및 기술 서비스업,대전,1,91480040,1,0,-1.0,0.153,1.167,-1.0,0.427
6.2,도매 및 소매업,대전,1,89788486,1,0,-1.0,0.153,1.146,-1.0,0.42
5.9,보건업 및 사회복지 서비스업,전남,1,84563776,1,0,-1.0,0.153,1.079,-1.0,0.4
5.7,사업시설 관리 사업 지원 및 임대 서비스업,광주,1,81347732,1,0,-1.0,0.153,1.038,-1.0,0.388
5.6,부동산업,경기,2,58169761,2,0,-1.0,0.307,0.742,-1.0,0.376
5.6,협회 및 단체  수리 및 기타 개인 서비스업,전남,1,79500938,1,0,-1.0,0.153,1.014,-1.0,0.381
5.5,건설업,대전,3,36951200,3,0,-1.0,0.46,0.471,-1.0,0.371
5.3,사업시설 관리 사업 지원 및 임대 서비스업,강원,1,72770383,1,0,-1.0,0.153,0.928,-1.0,0.355
5.0,제조업,강원,2,48041971,2,0,-1.0,0.307,0.613,-1.0,0.337
4.8,교육 서비스업,경기,2,45021647,2,0,-1.0,0.307,0.574,-1.0,0.326
4.7,광업,경북,1,62656238,1,0,-1.0,0.153,0.799,-1.0,0.316
4.7,보건업 및 사회복지 서비스업,인천,1,62953507,1,0,-1.0,0.153,0.803,-1.0,0.318
4.7,숙박 및 음식점업,대구,2,43656844,2,0,-1.0,0.307,0.557,-1.0,0.32
4.7,전문  과학 및 기술 서비스업,경북,1,63005225,1,0,-1.0,0.153,0.804,-1.0,0.318
4.7,사업시설 관리 사업 지원 및 임대 서비스업,대전,1,62766564,1,0,-1.0,0.153,0.801,-1.0,0.317
4.5,부동산업,경북,1,58543812,1,0,-1.0,0.153,0.747,-1.0,0.301
4.4,농업  임업 및 어업,전남,1,57090321,1,0,-1.0,0.153,0.728,-1.0,0.295
4.3,수도  하수 및 폐기물 처리  원료 재생업,경기,1,55669290,1,0,-1.0,0.153,0.71,-1.0,0.29
4.3,교육 서비스업,충남,1,56645833,1,0,-1.0,0.153,0.723,-1.0,0.293
4.1,사업시설 관리 사업 지원 및 임대 서비스업,경남,1,52608700,1,0,-1.0,0.153,0.671,-1.0,0.278
4.0,협회 및 단체  수리 및 기타 개인 서비스업,인천,1,50241248,1,0,-1.0,0.153,0.641,-1.0,0.269
4.0,예술  스포츠 및 여가관련 서비스업,인천,1,50453592,1,0,-1.0,0.153,0.644,-1.0,0.27
3.6,도매 및 소매업,전북,1,43405000,1,0,-1.0,0.153,0.554,-1.0,0.243
3.6,도매 및 소매업,울산,1,43186145,1,0,-1.0,0.153,0.551,-1.0,0.242
3.5,부동산업,제주,1,42390000,1,0,-1.0,0.153,0.541,-1.0,0.239
3.5,정보통신업,충남,1,41408392,1,0,-1.0,0.153,0.528,-1.0,0.235
3.4,도매 및 소매업,광주,1,40330236,1,0,-1.0,0.153,0.515,-1.0,0.231
3.3,금융 및 보험업,서울,1,38946846,1,0,-1.0,0.153,0.497,-1.0,0.226
3.3,정보통신업,광주,1,37805557,1,0,-1.0,0.153,0.482,-1.0,0.221
3.1,숙박 및 음식점업,전북,1,35126419,1,0,-1.0,0.153,0.448,-1.0,0.211
3.0,부동산업,울산,1,32573327,1,0,-1.0,0.153,0.416,-1.0,0.201
3.0,교육 서비스업,전북,1,33340141,1,0,-1.0,0.153,0.425,-1.0,0.204
